HEX_ID,WK_MORNING,WK_AFTERNOON,WKND_HOL
H1176,27753,25626,0
H1177,512,1403,0
H1178,0,0,0
H1179,91523,32298,0
H1180,36909,14633,0
H1181,11658,11829,0
H1182,0,0,0
H1183,0,0,0
H1184,0,0,0
H1185,0,0,0
H1186,0,0,0
H1187,0,0,0
H1188,4040,10651,0
H1189,30407,86621,0
H1190,7702,19908,0
H1191,0,0,0
H1192,33900,55514,0
H1193,70115,63869,0
H1194,37977,30567,0
H1195,48554,68190,0
H1196,57287,32600,0
H1197,23882,17344,0
H1198,9498,33117,0
H1199,0,0,0
H1200,0,0,0
H1201,104068,40805,0
H1202,59306,39971,0
H1203,0,0,0
H1204,0,0,0
H1205,0,0,0
H1206,0,0,0
H1207,0,0,0
H1208,0,0,0
H1209,0,0,0
H1210,11603,76825,0
H1211,17476,67895,0
H1212,47625,96375,0
H1213,10815,29153,0
H1214,25891,20422,0
H1215,163230,216758,0
H1216,25156,28075,0
H1217,58685,34212,0
H1218,201010,297757,0
H1219,100002,58104,0
H1220,4261,46317,0
H1221,0,0,0
H1222,15155,5306,0
H1223,98462,30365,0
H1224,0,0,0
H1225,0,0,0
H1226,0,0,0
H1227,0,0,0
H1228,0,0,0
H1229,0,0,0
H1230,0,0,0
H1231,0,0,0
H1232,0,0,0
H1233,7222,72606,0
H1234,23036,89826,0
H1235,63256,77537,0
H1236,16531,17511,0
H1237,31409,36686,0
H1238,47408,37499,0
H1239,28574,90240,0
H1240,51660,25976,0
H1241,36034,34096,0
H1242,0,0,0
H1243,0,0,0
H1244,0,0,0
H1245,19570,8374,0
H1246,0,0,0
H1247,0,0,0
H1248,0,0,0
H1249,0,0,0
H1250,0,0,0
H1251,0,0,0
H1252,0,0,0
H1253,144,2335,0
H1254,2313,35065,0
H1255,31775,131277,0
H1256,36737,55055,0
H1257,70945,43887,0
H1258,76278,31044,0
H1259,47017,22098,0
H1260,8991,22003,0
H1261,81808,33874,0
H1262,0,0,0
H1263,9542,7796,0
H1264,0,0,0
H1265,0,0,0
H1266,23373,8658,0
H1267,0,0,0
H1268,0,0,0
H1269,0,0,0
H1270,0,0,0
H1271,0,0,0
H1272,1342,9028,0
H1273,3781,41977,0
H1274,26318,42509,0
H1275,29248,26660,0
H1276,71420,30297,0
H1277,35664,34678,0
H1278,6793,5265,0
H1279,57970,27995,0
H1280,17626,51230,0
H1281,2034,1013,0
H1282,0,0,0
H1283,37,1106,0
H1284,0,0,0
H1285,0,0,0
H1286,0,0,0
H1287,0,0,0
H1288,0,0,0
H1289,592,662,0
H1290,5,127,0
H1291,823,9178,0
H1292,8898,27002,0
H1293,34508,66096,0
H1294,57232,50356,0
