HEX_ID,WK_MORNING,WK_AFTERNOON,WKND_HOL,I_WM,I_WM_p,I_WA,I_WA_p,I_WK,I_WK_p,Gi_WM_z,Gi_WM_p,Gi_WA_z,Gi_WA_p,Gi_WK_z,Gi_WK_p,mk_tau,mk_p,EHSA
H1634,0,0,0,0.17077520189103015,0.4737730735094146,0.1312403111890101,0.5300185518190873,NA,NA,-0.7163535424379491,0.47377307350941483,-0.6279776950657879,0.5300185518190872,NA,NA,1,1,Not_Significant
H1635,0,0,0,0.17077520189103015,0.3106492228753715,0.1312403111890101,0.37412041965515186,NA,NA,-1.0138607071981673,0.3106492228753717,-0.8887816871223535,0.3741204196551518,NA,NA,1,1,Not_Significant
H1636,0,0,0,0.17077520189103015,0.4737730735094146,0.1312403111890101,0.5300185518190873,NA,NA,-0.7163535424379491,0.47377307350941483,-0.6279776950657879,0.5300185518190872,NA,NA,1,1,Not_Significant
H1637,0,0,0,0.14358041631012544,0.39394034734165023,0.09543262187109014,0.5180134727217877,NA,NA,-0.8524933157844463,0.3939403473416504,-0.6464106072648437,0.5180134727217875,NA,NA,1,1,Not_Significant
H1638,15134,23704,0,-0.03526067317326256,0.6273897257640092,0.04218065527606136,0.8143522623745181,NA,NA,-0.4854040983527979,0.6273897257640093,0.23481508055329195,0.8143522623745181,NA,NA,1,1,Not_Significant
H1639,10328,9068,0,-0.003169235767199958,0.4246316261508379,-0.011931434386983415,0.593305979474698,NA,NA,0.7984116822554735,0.4246316261508381,0.534051390454884,0.593305979474698,NA,NA,-1,1,Not_Significant
H1640,39513,18218,0,1.4358356910053567,0.0018291932219040112,0.21604194491813747,0.038109644308298635,NA,NA,3.116648831517909,0.0018291932219040143,2.0736734961379657,0.0381096443082986,NA,NA,-1,1,Sporadic_Hotspot
H1641,40833,29928,0,1.0936229551225753,0.023159518237353453,0.158281604202756,0.5514360904396141,NA,NA,2.2707928955465393,0.023159518237353453,0.5956095573274792,0.5514360904396143,NA,NA,-1,1,Sporadic_Hotspot
H1642,2594,850,0,-0.024523016843901898,0.8752350840287051,0.05554149115950062,0.7386365797002706,NA,NA,0.1570123892164026,0.8752350840287051,-0.3336594130641477,0.7386365797002706,NA,NA,-1,1,Not_Significant
H1643,0,0,0,0.17077520189103015,0.3106492228753715,0.1312403111890101,0.37412041965515186,NA,NA,-1.0138607071981673,0.3106492228753717,-0.8887816871223535,0.3741204196551518,NA,NA,1,1,Not_Significant
